"PlayerID" "Name" "Country" "Role" "Fame" "Weapon" "Map" "Ability1" "Ability2" "Ability3" "Ability4" "Ability5" "New_team"
1 "ⓜ | 8eeR" "Belarus" "IGL" 2 "Famas" "Train"      
2 "ⓜ | Onebody" "China" "Entry" 2 "Glock" "Train"      
3 "ⓜ | Jazooka" "Japan" "Lurker" 2 "Duals" "Train"      
4 "ⓜ | HazardiaN" "Slovakia" "AWP" 1 "AWP" "Train" "Try Hard"     
5 "ⓜ | GreekFreakKief" "Greece" "Support" 2 "AK-47" "Mill"      
6 "ⓜ | Bonk" "Russia" "IGL" 0 "Galil" "Train"      
7 "ⓜ | Stroky" "Latvia" "Support" 0 "MP5" "Castle" "Entertaining"     
8 "ⓜ | SantiSupreme" "Peru" "Lurker" 0 "Duals" "Mill" "Try Hard"  "Long Lived"   
9 "ⓜ | Hunglow" "Singapore" "Support" 1 "M4A4" "Mill"      "Rule them all"
10 "ⓜ | Melted" "Slovakia" "Streamer" 2 "AK-47" "Castle" "Entertaining"     
